Scheme,Eligibility,Source Ministry,Benefits,DSS Rule
Pradhan Mantri Van Dhan Yojana (PMVDY),Tribal SHGs / forest-dwelling communities registered under Van Dhan Kendras,Ministry of Tribal Affairs (MoTA),"Skill training, working capital, tools/machinery, market linkages for forest produce",If village economy depends on MFP collection ? Suggest PMVDY support
Eklavya Model Residential Schools (EMRS),"ST children, classes 6–12, from tribal-dominated blocks",Ministry of Tribal Affairs (MoTA),"Free schooling, hostel, meals, uniforms for ST children",If literacy < 50% OR no secondary school nearby ? Suggest EMRS admission
National Fellowship & Scholarship for ST Students,"ST certificate, family income ? ?6 lakh, pursuing higher education",Ministry of Tribal Affairs (MoTA),"Scholarship covers tuition fees, maintenance allowance, contingency grant",If student eligible for UG/PG/PhD and ST ? Suggest Scholarship
Pre-Matric & Post-Matric ST Scholarships,"ST students, income ? ?2.5 lakh, enrolled in Class 9 onwards",MoTA / State Tribal Welfare Departments,"Full fee reimbursement, books, hostel allowance",If ST student in school/college and income ? threshold ? Suggest Scholarship
Stand-Up India Scheme,"SC/ST or women entrepreneur, loan ?10L–?1Cr, greenfield enterprise",Ministry of Finance,"Bank loan support for starting enterprises, credit + handholding support",If ST individual wants entrepreneurship ? Suggest Stand-Up India loan
PM JANMAN (Particularly Vulnerable Tribal Groups),"Members of PVTGs (e.g., Toda, Chenchu, Birhor)",Ministry of Tribal Affairs (MoTA),"Housing, education, health, livelihood, water, sanitation support",If village classified as PVTG ? Suggest PM JANMAN package
Forest Rights Act (FRA) Benefits,"ST/OTFD, proof of habitation before 2005",MoTA / MoEFCC,"Legal title to IFR/CR/CFR land, access to forest resources",If FRA claim granted ? Recognize rights + enable access to schemes
Tribal Sub-Plan (TSP) / ST Component (STC),All ST households,All ministries via MoTA coordination,Special allocation of funds for tribal welfare across ministries,If ST-majority village ? Prioritize TSP budget schemes
Jal Jeevan Mission (Har Ghar Jal),"All rural households, priority to tribal/remote villages",Ministry of Jal Shakti,"Household piped drinking water connection, village infrastructure",If water_access = poor ? Suggest Jal Jeevan Mission
MGNREGA,"All rural households (incl. tribal), with job card",Ministry of Rural Development,100 days guaranteed wage employment per household,If FRA patta land undeveloped OR unemployment high ? Suggest MGNREGA work
PM-KISAN,Land-owning farmers incl. FRA patta holders,Ministry of Agriculture & Farmers Welfare,"?6,000 per year in 3 equal installments to farmers",If FRA patta granted (agricultural land) ? Suggest PM-KISAN enrollment
National Health Mission – Tribal Health,"All tribal villages, women, children",Ministry of Health & Family Welfare,"Free health services, mobile clinics, nutrition programs",If high maternal/child mortality OR poor health index ? Suggest NHM tribal package
ST Hostels for Boys & Girls,ST students enrolled in schools/colleges,MoTA / State Tribal Welfare,"Free hostel accommodation, food, uniforms",If dropout risk OR distance to school > 5km ? Suggest hostel facility
DAJKUA / DAJGUA Convergence,FRA title-holders (IFR/CR/CFR),"MoTA + Ministries of Agriculture, Jal Shakti, Rural Development","Layered support: land development, irrigation, housing, livelihood assets","If FRA patta granted ? Layer DAJGUA schemes (land dev, irrigation, housing)"
